score,split,max_inner,max_outer,rank,rho,tol
0.000710558930127088,2,50,20,9,1.0,0.0
0.0012453616607272884,2,50,20,9,3.0,0.0
0.008060463045368664,2,50,20,9,5.0,0.0
1.1358284971157813e-05,2,50,20,10,0.5,0.0
2.9520843047951428e-05,2,50,20,10,1.0,0.0
0.0007274291599289181,2,50,20,10,3.0,0.0
0.010280223084058062,2,50,20,10,5.0,0.0
3.586445336571818e-06,2,50,20,11,0.5,0.0
2.484147959367719e-05,2,50,20,11,1.0,0.0
0.0008026535050809869,2,50,20,11,3.0,0.0
0.010980264006226276,2,50,20,11,5.0,0.0
6.3945528138096775e-06,2,50,20,12,0.5,0.0
8.115572275574062e-06,2,50,20,12,1.0,0.0
0.0010069687364027843,2,50,20,12,3.0,0.0
0.0122552828094395,2,50,20,12,5.0,0.0
0.0018229105253211003,2,50,30,8,0.5,0.0
0.0015602402121467488,2,50,30,8,1.0,0.0
0.0016070770805321646,2,50,30,8,3.0,0.0
0.0023639167557800086,2,50,30,8,5.0,0.0
0.0008693100766723558,2,50,30,9,0.5,0.0
0.0007075138407752174,2,50,30,9,1.0,0.0
0.0007645828803348778,2,50,30,9,3.0,0.0
0.0015435591426223349,2,50,30,9,5.0,0.0
5.578817204232011e-06,2,50,30,10,0.5,0.0
1.5493011247070606e-05,2,50,30,10,1.0,0.0
9.201691687870608e-05,2,50,30,10,3.0,0.0
0.001617722295392003,2,50,30,10,5.0,0.0
1.2172291065236236e-06,2,50,30,11,0.5,0.0
1.5762109656905754e-05,2,50,30,11,1.0,0.0
6.267277292881112e-05,2,50,30,11,3.0,0.0
0.001418934740052346,2,50,30,11,5.0,0.0
4.6425968940442475e-06,2,50,30,12,0.5,0.0
3.715175383248498e-06,2,50,30,12,1.0,0.0
6.48964539994829e-05,2,50,30,12,3.0,0.0
0.001828022219144239,2,50,30,12,5.0,0.0
0.001738623366307464,2,100,10,8,0.5,0.0
0.001575244752385156,2,100,10,8,1.0,0.0
0.020796610342778823,2,100,10,8,3.0,0.0
0.07921623626146723,2,100,10,8,5.0,0.0
0.0008623357545568366,2,100,10,9,0.5,0.0
0.0007518613176409642,2,100,10,9,1.0,0.0
0.02275847827755403,2,100,10,9,3.0,0.0
0.08152909682072758,2,100,10,9,5.0,0.0
1.7337144733279852e-05,2,100,10,10,0.5,0.0
4.012449064156198e-05,2,100,10,10,1.0,0.0
0.023164663610590806,2,100,10,10,3.0,0.0
0.08744735316376559,2,100,10,10,5.0,0.0
5.229187150854585e-06,2,100,10,11,0.5,0.0
4.614034175833084e-05,2,100,10,11,1.0,0.0
0.024531387492623787,2,100,10,11,3.0,0.0
0.09402211401923617,2,100,10,11,5.0,0.0
3.0963569476646946e-06,2,100,10,12,0.5,0.0
4.5265594616817916e-05,2,100,10,12,1.0,0.0
0.028001223447840427,2,100,10,12,3.0,0.0
0.09756834893048058,2,100,10,12,5.0,0.0
0.0016229591628537108,2,100,20,8,0.5,0.0
0.001561043825447471,2,100,20,8,1.0,0.0
0.0021438313977661366,2,100,20,8,3.0,0.0
0.009664885663182157,2,100,20,8,5.0,0.0
0.0008667430403367975,2,100,20,9,0.5,0.0
0.0007182025917244198,2,100,20,9,1.0,0.0
0.0012784337022174672,2,100,20,9,3.0,0.0
0.00881347738237439,2,100,20,9,5.0,0.0
6.7333957672703104e-06,2,100,20,10,0.5,0.0
5.255927194289149e-06,2,100,20,10,1.0,0.0
0.0007589816136705123,2,100,20,10,3.0,0.0
0.010424252934645536,2,100,20,10,5.0,0.0
1.1480774836582374e-06,2,100,20,11,0.5,0.0
9.031177890884225e-06,2,100,20,11,1.0,0.0
0.000772572242802447,2,100,20,11,3.0,0.0
0.012000031407183366,2,100,20,11,5.0,0.0
1.094941529038208e-06,2,100,20,12,0.5,0.0
2.7139826760810835e-06,2,100,20,12,1.0,0.0
0.0011043923720605773,2,100,20,12,3.0,0.0
0.012903802653606295,2,100,20,12,5.0,0.0
0.0017526918562924543,2,100,30,8,0.5,0.0
0.001558918101517608,2,100,30,8,1.0,0.0
0.001611097944329597,2,100,30,8,3.0,0.0
0.002418845405458383,2,100,30,8,5.0,0.0
0.00075972715205183,2,100,30,9,0.5,0.0
0.0007175773326214678,2,100,30,9,1.0,0.0
0.0007594310125448041,2,100,30,9,3.0,0.0
0.001575309123498139,2,100,30,9,5.0,0.0
4.7487125684152806e-06,2,100,30,10,0.5,0.0
1.6578146676455335e-06,2,100,30,10,1.0,0.0
