n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
100,0.6,4,10,10,0.0674555215176559,24
100,0.6,4,11,10,0.0767326734673072,24
100,0.6,4,12,10,0.09002632063747461,24
100,0.65,0,8,10,0.029692643730841288,25
100,0.65,0,9,10,0.035254603231719875,25
100,0.65,0,10,10,0.03387981160743611,25
100,0.65,0,11,10,0.04069778025203841,25
100,0.65,0,12,10,0.04778062469588098,25
100,0.65,1,8,10,0.01553738918955289,26
100,0.65,1,9,10,0.01958425127039721,26
100,0.65,1,10,10,0.021299058200335213,26
100,0.65,1,11,10,0.027459094441101898,26
100,0.65,1,12,10,0.03292246780685771,26
100,0.65,2,8,10,0.02898167808089417,27
100,0.65,2,9,10,0.037512880971107485,27
100,0.65,2,10,10,0.05040004534820734,27
100,0.65,2,11,10,0.05790974652577649,27
100,0.65,2,12,10,0.06871429288043157,27
100,0.65,3,8,10,0.05203484794633361,28
100,0.65,3,9,10,0.05654858234212726,28
100,0.65,3,10,10,0.06874313584725505,28
100,0.65,3,11,10,0.07947264829485061,28
100,0.65,3,12,10,0.10370931461051734,28
100,0.65,4,8,10,0.018803048033998026,29
100,0.65,4,9,10,0.02338519961535319,29
100,0.65,4,10,10,0.02904499215897469,29
100,0.65,4,11,10,0.03445986544054871,29
100,0.65,4,12,10,0.04064456981898715,29
100,0.7,0,8,10,0.01305977088808313,30
100,0.7,0,9,10,0.011142696099523767,30
100,0.7,0,10,10,0.009638390424867145,30
100,0.7,0,11,10,0.016080119487710796,30
100,0.7,0,12,10,0.025239533647443305,30
100,0.7,1,8,10,0.016473548767161773,31
100,0.7,1,9,10,0.014653050690627289,31
100,0.7,1,10,10,0.011670477174231843,31
100,0.7,1,11,10,0.022575233839879583,31
100,0.7,1,12,10,0.0306159801606918,31
100,0.7,2,8,10,0.023168674227497993,32
100,0.7,2,9,10,0.022997275008926628,32
100,0.7,2,10,10,0.026711185939617292,32
100,0.7,2,11,10,0.030146992418647187,32
100,0.7,2,12,10,0.03985372419731232,32
100,0.7,3,8,10,0.015188871881122928,33
100,0.7,3,9,10,0.013931181201428236,33
100,0.7,3,10,10,0.010396093740884231,33
100,0.7,3,11,10,0.013846568070311767,33
100,0.7,3,12,10,0.01803191258595798,33
100,0.7,4,8,10,0.010935401668118624,34
100,0.7,4,9,10,0.009272228173435976,34
100,0.7,4,10,10,0.009552589660898817,34
100,0.7,4,11,10,0.015295689489701036,34
100,0.7,4,12,10,0.02534928613436033,34
100,0.75,0,8,10,0.011254337907119783,35
100,0.75,0,9,10,0.00612588296117413,35
